[2025-11-05 23:21:47] [Tick 9 | Q1/5] auto_p1 [PID 1] pc=0/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:48] [Tick 19 | Q1/5] auto_p5 [PID 5] pc=0/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 19 | Q3/5] auto_p1 [PID 1] pc=7/5000 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:48] [Tick 20 | Q4/5] auto_p4 [PID 4] pc=3/5000 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:48] [Tick 20 | Q1/5] auto_p2 [PID 2] pc=5/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 20 | Q5/5] auto_p3 [PID 3] pc=4/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:48] [Tick 20 | Q1/5] auto_p6 [PID 6] pc=0/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:48] [Tick 20 | Q4/5] auto_p1 [PID 1] pc=8/5000 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:48] [Tick 21 | Q5/5] auto_p4 [PID 4] pc=4/5000 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:48] [Tick 21 | Q1/5] auto_p2 [PID 2] pc=5/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:48] [Tick 21 | Q1/5] auto_p3 [PID 3] pc=5/5000 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:48] [Tick 21 | Q2/5] auto_p6 [PID 6] pc=1/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:48] [Tick 21 | Q5/5] auto_p1 [PID 1] pc=9/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:48] [Tick 21 | Q2/5] auto_p5 [PID 5] pc=1/5000 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:48] [Tick 21 | Q1/5] auto_p7 [PID 7] pc=0/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 22 | Q1/5] auto_p4 [PID 4] pc=5/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 22 | Q2/5] auto_p2 [PID 2] pc=6/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:48] [Tick 22 | Q2/5] auto_p3 [PID 3] pc=6/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 22 | Q3/5] auto_p6 [PID 6] pc=2/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 22 | Q1/5] auto_p1 [PID 1] pc=10/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:48] [Tick 22 | Q3/5] auto_p5 [PID 5] pc=2/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 22 | Q1/5] auto_p8 [PID 8] pc=0/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:48] [Tick 23 | Q1/5] auto_p4 [PID 4] pc=5/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:48] [Tick 23 | Q3/5] auto_p2 [PID 2] pc=7/5001 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:48] [Tick 23 | Q2/5] auto_p7 [PID 7] pc=1/5000 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:48] [Tick 23 | Q1/5] auto_p9 [PID 9] pc=0/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:48] [Tick 23 | Q2/5] auto_p1 [PID 1] pc=11/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:48] [Tick 23 | Q3/5] auto_p5 [PID 5] pc=2/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:49] [Tick 23 | Q2/5] auto_p8 [PID 8] pc=1/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:49] [Tick 24 | Q2/5] auto_p4 [PID 4] pc=6/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:49] [Tick 24 | Q4/5] auto_p2 [PID 2] pc=8/5001 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:49] [Tick 24 | Q3/5] auto_p7 [PID 7] pc=2/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:49] [Tick 24 | Q3/5] auto_p3 [PID 3] pc=7/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:49] [Tick 24 | Q3/5] auto_p1 [PID 1] pc=12/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:49] [Tick 24 | Q4/5] auto_p5 [PID 5] pc=3/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:49] [Tick 24 | Q3/5] auto_p8 [PID 8] pc=2/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:49] [Tick 24 | Q4/5] auto_p6 [PID 6] pc=3/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:49] [Tick 24 | Q1/5] auto_p10 [PID 10] pc=0/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:49] [Tick 25 | Q3/5] auto_p4 [PID 4] pc=7/5001 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:49] [Tick 25 | Q5/5] auto_p2 [PID 2] pc=9/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:49] [Tick 25 | Q4/5] auto_p7 [PID 7] pc=3/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:49] [Tick 25 | Q4/5] auto_p3 [PID 3] pc=8/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:49] [Tick 25 | Q4/5] auto_p1 [PID 1] pc=13/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:49] [Tick 25 | Q5/5] auto_p5 [PID 5] pc=4/5001 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:49] [Tick 25 | Q2/5] auto_p9 [PID 9] pc=1/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:49] [Tick 25 | Q1/5] auto_p11 [PID 11] pc=0/5000 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:49] [Tick 25 | Q2/5] auto_p10 [PID 10] pc=1/5000 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:49] [Tick 26 | Q4/5] auto_p4 [PID 4] pc=8/5001 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:49] [Tick 26 | Q1/5] auto_p2 [PID 2] pc=10/5001 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:49] [Tick 26 | Q5/5] auto_p7 [PID 7] pc=4/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:49] [Tick 26 | Q5/5] auto_p3 [PID 3] pc=9/5000 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:49] [Tick 26 | Q5/5] auto_p1 [PID 1] pc=14/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:49] [Tick 26 | Q1/5] auto_p5 [PID 5] pc=5/5001 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:49] [Tick 26 | Q3/5] auto_p9 [PID 9] pc=2/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:49] [Tick 26 | Q2/5] auto_p11 [PID 11] pc=1/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:49] [Tick 26 | Q3/5] auto_p10 [PID 10] pc=2/5000 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:49] [Tick 26 | Q5/5] auto_p6 [PID 6] pc=4/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:49] [Tick 26 | Q4/5] auto_p8 [PID 8] pc=3/5000 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:49] [Tick 26 | Q1/5] auto_p12 [PID 12] pc=0/5000 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q5/5] auto_p4 [PID 4] pc=9/5001 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q2/5] auto_p2 [PID 2] pc=11/5001 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q1/5] auto_p7 [PID 7] pc=5/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q1/5] auto_p3 [PID 3] pc=10/5000 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q1/5] auto_p1 [PID 1] pc=15/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q2/5] auto_p5 [PID 5] pc=6/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q4/5] auto_p9 [PID 9] pc=3/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q3/5] auto_p11 [PID 11] pc=2/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q4/5] auto_p10 [PID 10] pc=3/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q1/5] auto_p6 [PID 6] pc=5/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q5/5] auto_p8 [PID 8] pc=4/5000 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q2/5] auto_p12 [PID 12] pc=1/5000 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:49] [Tick 27 | Q1/5] auto_p13 [PID 13] pc=0/5000 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:49] [Tick 28 | Q5/5] auto_p4 [PID 4] pc=9/5002 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:49] [Tick 28 | Q3/5] auto_p2 [PID 2] pc=12/5001 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:49] [Tick 28 | Q1/5] auto_p7 [PID 7] pc=5/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:49] [Tick 28 | Q2/5] auto_p3 [PID 3] pc=11/5000 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:49] [Tick 28 | Q2/5] auto_p1 [PID 1] pc=16/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:49] [Tick 28 | Q3/5] auto_p5 [PID 5] pc=7/5001 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:49] [Tick 28 | Q1/5] auto_p14 [PID 14] pc=0/5000 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:49] [Tick 28 | Q4/5] auto_p11 [PID 11] pc=3/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:49] [Tick 28 | Q5/5] auto_p10 [PID 10] pc=4/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:49] [Tick 28 | Q2/5] auto_p6 [PID 6] pc=6/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 28 | Q1/5] auto_p8 [PID 8] pc=5/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:50] [Tick 28 | Q3/5] auto_p12 [PID 12] pc=2/5000 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:50] [Tick 28 | Q2/5] auto_p13 [PID 13] pc=1/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q1/5] auto_p4 [PID 4] pc=10/5002 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q4/5] auto_p2 [PID 2] pc=13/5001 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q2/5] auto_p7 [PID 7] pc=6/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q3/5] auto_p3 [PID 3] pc=12/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q5/5] auto_p9 [PID 9] pc=4/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q4/5] auto_p5 [PID 5] pc=8/5001 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q2/5] auto_p14 [PID 14] pc=1/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q1/5] auto_p15 [PID 15] pc=0/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q5/5] auto_p10 [PID 10] pc=4/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q2/5] auto_p6 [PID 6] pc=6/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q2/5] auto_p8 [PID 8] pc=6/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q4/5] auto_p12 [PID 12] pc=3/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 29 | Q3/5] auto_p13 [PID 13] pc=2/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q2/5] auto_p4 [PID 4] pc=11/5002 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q3/5] auto_p1 [PID 1] pc=17/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q3/5] auto_p7 [PID 7] pc=7/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q3/5] auto_p3 [PID 3] pc=12/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q5/5] auto_p11 [PID 11] pc=4/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q1/5] auto_p16 [PID 16] pc=0/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q3/5] auto_p14 [PID 14] pc=2/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q2/5] auto_p15 [PID 15] pc=1/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q1/5] auto_p10 [PID 10] pc=5/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q3/5] auto_p6 [PID 6] pc=7/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q2/5] auto_p8 [PID 8] pc=6/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q5/5] auto_p12 [PID 12] pc=4/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 30 | Q4/5] auto_p13 [PID 13] pc=3/5000 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q3/5] auto_p4 [PID 4] pc=12/5002 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q4/5] auto_p1 [PID 1] pc=18/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q4/5] auto_p7 [PID 7] pc=8/5001 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q4/5] auto_p3 [PID 3] pc=13/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q5/5] auto_p11 [PID 11] pc=4/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q2/5] auto_p16 [PID 16] pc=1/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q3/5] auto_p14 [PID 14] pc=2/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q3/5] auto_p15 [PID 15] pc=2/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q2/5] auto_p10 [PID 10] pc=6/5001 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q4/5] auto_p6 [PID 6] pc=8/5001 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q3/5] auto_p8 [PID 8] pc=7/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q5/5] auto_p2 [PID 2] pc=14/5001 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q5/5] auto_p13 [PID 13] pc=4/5000 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q5/5] auto_p5 [PID 5] pc=9/5001 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q1/5] auto_p9 [PID 9] pc=5/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 31 | Q1/5] auto_p17 [PID 17] pc=0/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 32 | Q3/5] auto_p4 [PID 4] pc=12/5003 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 32 | Q5/5] auto_p1 [PID 1] pc=19/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 32 | Q1/5] auto_p12 [PID 12] pc=5/5000 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:50] [Tick 32 | Q5/5] auto_p3 [PID 3] pc=14/5001 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 32 | Q1/5] auto_p11 [PID 11] pc=5/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 32 | Q1/5] auto_p18 [PID 18] pc=0/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:50] [Tick 32 | Q4/5] auto_p14 [PID 14] pc=3/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:50] [Tick 32 | Q4/5] auto_p15 [PID 15] pc=3/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:50] [Tick 32 | Q3/5] auto_p10 [PID 10] pc=7/5001 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:50] [Tick 32 | Q4/5] auto_p8 [PID 8] pc=8/5001 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:50] [Tick 32 | Q1/5] auto_p13 [PID 13] pc=5/5000 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:50] [Tick 32 | Q1/5] auto_p5 [PID 5] pc=10/5001 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:51] [Tick 32 | Q1/5] auto_p9 [PID 9] pc=5/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q4/5] auto_p4 [PID 4] pc=13/5003 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q5/5] auto_p1 [PID 1] pc=19/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q2/5] auto_p12 [PID 12] pc=6/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q1/5] auto_p2 [PID 2] pc=15/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q2/5] auto_p11 [PID 11] pc=6/5001 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q1/5] auto_p18 [PID 18] pc=0/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q5/5] auto_p14 [PID 14] pc=4/5001 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q5/5] auto_p15 [PID 15] pc=4/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q4/5] auto_p10 [PID 10] pc=8/5001 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q5/5] auto_p6 [PID 6] pc=9/5001 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q5/5] auto_p8 [PID 8] pc=9/5001 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q5/5] auto_p7 [PID 7] pc=9/5001 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q2/5] auto_p13 [PID 13] pc=6/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q2/5] auto_p5 [PID 5] pc=11/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q2/5] auto_p9 [PID 9] pc=6/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 33 | Q3/5] auto_p16 [PID 16] pc=2/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q5/5] auto_p4 [PID 4] pc=14/5003 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q1/5] auto_p1 [PID 1] pc=20/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q3/5] auto_p12 [PID 12] pc=7/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q2/5] auto_p2 [PID 2] pc=16/5001 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q3/5] auto_p11 [PID 11] pc=7/5001 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q2/5] auto_p18 [PID 18] pc=1/5001 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q1/5] auto_p14 [PID 14] pc=5/5001 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q1/5] auto_p15 [PID 15] pc=5/5000 -> DECLARE(x, 5) | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q2/5] auto_p17 [PID 17] pc=1/5000 -> SLEEP(2) | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q5/5] auto_p6 [PID 6] pc=9/5002 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q1/5] auto_p8 [PID 8] pc=10/5001 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q1/5] auto_p19 [PID 19] pc=0/5000 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q3/5] auto_p13 [PID 13] pc=7/5000 -> PRINT('Hello world!') | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q3/5] auto_p5 [PID 5] pc=12/5001 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q3/5] auto_p9 [PID 9] pc=7/5001 -> SUBTRACT(diff, y, x) | State=RUNNING
[2025-11-05 23:21:51] [Tick 34 | Q4/5] auto_p16 [PID 16] pc=3/5000 -> DECLARE(y, 10) | State=RUNNING
[2025-11-05 23:21:51] [Tick 35 | Q1/5] auto_p4 [PID 4] pc=15/5003 -> ADD(sum, x, y) | State=RUNNING
[2025-11-05 23:21:51] [Tick 35 | Q1/5] auto_p3 [PID 3] pc=15/5001 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:51] [Tick 35 | Q4/5] auto_p12 [PID 12] pc=8/5000 -> FOR([PRINT('Hello world!')], 2) | State=RUNNING
[2025-11-05 23:21:51] [Tick 35 | Q3/5] auto_p2 [PID 2] pc=17/5001 -> PRINT('Value of sum: ' + sum) | State=RUNNING
[2025-11-05 23:21:51] [Tick 35 | Q5/5] auto_p10 [PID 10] pc=9/5001 -> DECLARE(x, 5) | State=RUNNING
